,time,beta,alpha,sigma_D,sigma_C,S_c,S_d,I_c,I_d
84,16.811207471647766,0.5,0.2,0.625,0.375,0.0051731288845031495,0.9499427887289033,0.004341920882775199,0.04054216150381853
85,17.011340893929287,0.5,0.2,0.625,0.375,0.005086407551545912,0.947316684533585,0.004530775730934346,0.04306613218393496
86,17.211474316210808,0.5,0.2,0.625,0.375,0.005008169701937492,0.9445256583070167,0.004726779337184214,0.045739392653861816
87,17.41160773849233,0.5,0.2,0.625,0.375,0.004938278177801869,0.9415622543588067,0.004930091945006773,0.048569375518384986
88,17.61174116077385,0.5,0.2,0.625,0.375,0.004876605591199939,0.9384188561818856,0.005140866475853028,0.051563671751061725
89,17.81187458305537,0.5,0.2,0.625,0.375,0.004823033851123768,0.9350876968451602,0.005359247669510138,0.05473002163420621
90,18.01200800533689,0.5,0.2,0.625,0.375,0.004777453797234951,0.9315608876004156,0.005585371333618391,0.058076287268731444
91,18.212141427618413,0.5,0.2,0.625,0.375,0.004739764989058081,0.9278304755104408,0.005819363485765032,0.06161039601473645
92,18.412274849899934,0.5,0.2,0.625,0.375,0.0047098752020358955,0.9238884454809627,0.006061339402066286,0.0653403399149354
93,18.612408272181455,0.5,0.2,0.625,0.375,0.004687700520709711,0.9197268103891323,0.006311403560644574,0.06927408552951375
94,18.812541694462976,0.5,0.2,0.625,0.375,0.004673164977408128,0.9153376384371811,0.0065696487984666175,0.07341954778694457
95,19.012675116744497,0.5,0.2,0.625,0.375,0.004666200616345401,0.9107131211802217,0.0068361565468962006,0.07778452165653707
96,19.212808539026017,0.5,0.2,0.625,0.375,0.004666747321188108,0.9058456238886403,0.00711099637097134,0.08237663241920062
97,19.41294196130754,0.5,0.2,0.625,0.375,0.004674753247786361,0.9007277806376943,0.0073942272522366384,0.08720323886228305
98,19.61307538358906,0.5,0.2,0.625,0.375,0.004690174733761755,0.895352547592597,0.007685897406436872,0.09227138026720477
99,19.81320880587058,0.5,0.2,0.625,0.375,0.00471297706677717,0.8897133082956288,0.007986046675670254,0.09758766796192404
100,20.0133422281521,0.5,0.2,0.625,0.375,0.004743134595166406,0.8838039404343162,0.008294706917019367,0.10315821805349827
101,20.213475650433622,0.5,0.2,0.625,0.375,0.004780631925327698,0.8776189306579962,0.008611905766057422,0.10898853165061888
102,20.413609072715143,0.5,0.2,0.625,0.375,0.004825464271836434,0.8711534520388815,0.008937667753903634,0.11508341593537866
103,20.613742494996664,0.5,0.2,0.625,0.375,0.004877639141152155,0.8644034838004863,0.009272019578909059,0.12144685747945265
104,20.813875917278185,0.5,0.2,0.625,0.375,0.004937176973895308,0.8573658977107858,0.009614992114481523,0.12808193320083763
105,21.014009339559706,0.5,0.2,0.625,0.375,0.005004113378728361,0.8500385751155344,0.00996662730255922,0.13499068420317836
106,21.214142761841227,0.5,0.2,0.625,0.375,0.005078500184865112,0.8424205039205866,0.010326981421135412,0.14217401447341316
107,21.41427618412275,0.5,0.2,0.625,0.375,0.005160407949249446,0.8345118742140698,0.010696132561298656,0.14963158527538234
108,21.61440960640427,0.5,0.2,0.625,0.375,0.005249928205593014,0.8263141938401132,0.01107418752942532,0.15736169042486872
109,21.81454302868579,0.5,0.2,0.625,0.375,0.005347175563807132,0.8178303510292043,0.011461287693994557,0.16536118571299435
110,22.01467645096731,0.5,0.2,0.625,0.375,0.005452290649421368,0.8090647135159353,0.011857617682310447,0.1736253781523332
111,22.214809873248832,0.5,0.2,0.625,0.375,0.005565443064724714,0.8000231912172836,0.012263413550505696,0.18214795216748636
112,22.414943295530353,0.5,0.2,0.625,0.375,0.005686834486743491,0.7907132896263692,0.01267897124456897,0.19092090464231867
113,22.615076717811874,0.5,0.2,0.625,0.375,0.005816702126622845,0.7811441609555788,0.013104655924782665,0.19993448099301606
114,22.815210140093395,0.5,0.2,0.625,0.375,0.005955322242823521,0.7713266086335809,0.013540910560736159,0.20917715856285982
115,23.015343562374916,0.5,0.2,0.625,0.375,0.006103013972763807,0.7612731137024464,0.013988265915954676,0.21863560640883548
116,23.215476984656437,0.5,0.2,0.625,0.375,0.006260143079044039,0.7509977891241678,0.014447348547840713,0.22829471924894787
117,23.415610406937958,0.5,0.2,0.625,0.375,0.0064271261755063916,0.7405163646957834,0.01491889107531279,0.23813761805339784
118,23.61574382921948,0.5,0.2,0.625,0.375,0.006604434654055175,0.7298461010237225,0.015403739525621461,0.24814572479660135
119,23.815877251501,0.5,0.2,0.625,0.375,0.006792599116906367,0.7190057159243787,0.015902862782255507,0.25829882217646005
120,24.01601067378252,0.5,0.2,0.625,0.375,0.006992213528220132,0.7080152658480244,0.016417359522603567,0.26857516110115237
121,24.216144096064042,0.5,0.2,0.625,0.375,0.007203939672512042,0.6968960120112886,0.016948465949261624,0.2789515823669383
122,24.416277518345563,0.5,0.2,0.625,0.375,0.007428511558956082,0.6856702692513449,0.017497562398165238,0.2894036567915343
123,24.616410940627084,0.5,0.2,0.625,0.375,0.0076667398288067165,0.6743612278145038,0.018066179066747054,0.299905853289943
124,24.816544362908605,0.5,0.2,0.625,0.375,0.00791951636161968,0.66299276251377,0.01865600194392582,0.3104317191806849
125,25.016677785190126,0.5,0.2,0.625,0.375,0.008187818703200503,0.6515892383272146,0.01926887697975417,0.3209540659898312
126,25.216811207471647,0.5,0.2,0.625,0.375,0.008472714755556887,0.6401752772426522,0.0199068147150406,0.33144519328675076
127,25.416944629753168,0.5,0.2,0.625,0.375,0.008775367373502343,0.628775569114726,0.020571993636396765,0.3418770698753753
128,25.61707805203469,0.5,0.2,0.625,0.375,0.009097039070374256,0.6174146138165224,0.021266763195649213,0.3522215839174545
129,25.81721147431621,0.5,0.2,0.625,0.375,0.009439096843978086,0.6061165414215082,0.021993646623984314,0.36245071511052973
130,26.01734489659773,0.5,0.2,0.625,0.375,0.009803016974004241,0.5949048645954518,0.02275534274360379,0.37253677568694055
131,26.21747831887925,0.5,0.2,0.625,0.375,0.010190390019103596,0.5838023026501721,0.023554727972722362,0.38245257935800225
132,26.417611741160773,0.5,0.2,0.625,0.375,0.010602925826095249,0.572830579542738,0.024394857537664877,0.3921716370935021
133,26.617745163442294,0.5,0.2,0.625,0.375,0.01104245862167412,0.562010250406196,0.02527896636226672,0.4016683246098634
134,26.817878585723815,0.5,0.2,0.625,0.375,0.011510952232154963,0.5513605653456896,0.026210469801457446,0.41091801262069827
135,27.018012008005336,0.5,0.2,0.625,0.375,0.012010505273078249,0.5408993106382329,0.02719296347332408,0.419897220615365
136,27.218145430286857,0.5,0.2,0.625,0.375,0.012543356352944474,0.5306427344868886,0.028230222807486827,0.4285836863526804
137,27.418278852568378,0.5,0.2,0.625,0.375,0.013111889408305518,0.5206054292022905,0.029326202097330667,0.4369564792920737
138,27.6184122748499,0.5,0.2,0.625,0.375,0.013718638533771048,0.5108002976170514,0.030485031749404277,0.4449960320997737
139,27.81854569713142,0.5,0.2,0.625,0.375,0.014366293336997247,0.5012384989599676,0.0317110162797215,0.452684191423314
140,28.01867911941294,0.5,0.2,0.625,0.375,0.015057703101148429,0.49192944229307217,0.03300862849251842,0.46000422611326136
141,28.21881254169446,0.5,0.2,0.625,0.375,0.015795881665687506,0.4828807946981001,0.034382505013967404,0.4669408186222453
142,28.418945963975982,0.5,0.2,0.625,0.375,0.01658401077588747,0.4740985038398667,0.03583743718113778,0.47348004820310835
143,28.619079386257503,0.5,0.2,0.625,0.375,0.01742544359086583,0.4655868487530114,0.03737836172120334,0.47960934593491966
144,28.819212808539024,0.5,0.2,0.625,0.375,0.018323707176897203,0.4573485001202791,0.03901034837374469,0.4853174443290792
145,29.019346230820545,0.5,0.2,0.625,0.375,0.019282503442958895,0.4493845895527259,0.04073858292864508,0.4905943240756703
146,29.219479653102066,0.5,0.2,0.625,0.375,0.020305710579611853,0.44169481036755315,0.04256835105601045,0.4954311279968248
147,29.419613075383587,0.5,0.2,0.625,0.375,0.02139738036332586,0.4342774914410179,0.04450501180813142,0.49982011638752516
148,29.61974649766511,0.5,0.2,0.625,0.375,0.02256173766102723,0.42712972632266205,0.04655397545844857,0.5037545605578625
149,29.81987991994663,0.5,0.2,0.625,0.375,0.023803173659777112,0.42024745334710956,0.048720667380463066,0.5072287056126507
150,30.02001334222815,0.5,0.2,0.625,0.375,0.025126241756123314,0.41362559106980107,0.05101049631643581,0.5102376708576402
151,30.22014676450967,0.5,0.2,0.625,0.375,0.02653564664276396,0.40725813044741094,0.053428809357095215,0.5127774135527302
152,30.420280186791192,0.5,0.2,0.625,0.375,0.028036234633521503,0.4011382596505719,0.05598084751490315,0.5148446582010039
153,30.620413609072713,0.5,0.2,0.625,0.375,0.029632978584159333,0.395258468916568,0.05867169230725075,0.5164368601920224
154,30.820547031354234,0.5,0.2,0.625,0.375,0.03133096068060221,0.3896106565582043,0.061506207088418294,0.5175521756727757
155,31.020680453635755,0.5,0.2,0.625,0.375,0.033135353678942506,0.38418624401310963,0.0644889749715378,0.5181894273364106
156,31.220813875917276,0.5,0.2,0.625,0.375,0.035051394767469976,0.3789762657530507,0.067624228662312,0.5183481108171678
157,31.420947298198797,0.5,0.2,0.625,0.375,0.03708435856731303,0.37397146081749016,0.07091577331048508,0.5180284073047122
158,31.621080720480318,0.5,0.2,0.625,0.375,0.03923952752117872,0.3691623783922274,0.07436691224223936,0.517231181844355
159,31.82121414276184,0.5,0.2,0.625,0.375,0.04152215721805815,0.36453946603628157,0.07798036450999442,0.5159580122356664
160,32.021347565043364,0.5,0.2,0.625,0.375,0.04393743580502065,0.36009313130123904,0.08175817296633925,0.5142112599274016
161,32.22148098732488,0.5,0.2,0.625,0.375,0.046490446072622545,0.3558138436358823,0.08570162871230667,0.511994081579189
162,32.421614409606406,0.5,0.2,0.625,0.375,0.04918611694092834,0.35169218731467494,0.08981117374655682,0.5093105219978403
163,32.62174783188792,0.5,0.2,0.625,0.375,0.0520291774999765,0.34771893303927953,0.0940863211433116,0.5061655683174328
164,32.82188125416945,0.5,0.2,0.625,0.375,0.055024107384959574,0.34388510214962864,0.09852557550726679,0.5025652149581454
165,33.022014676450965,0.5,0.2,0.625,0.375,0.05817508161659236,0.34018201672646686,0.10312634869051243,0.49851655296642877
166,33.22214809873249,0.5,0.2,0.625,0.375,0.06148592199213178,0.33660135432650884,0.10788490291389528,0.4940278207674646
167,33.42228152101401,0.5,0.2,0.625,0.375,0.0649600390121755,0.3331351918273769,0.11279628336279082,0.4891084857976572
168,33.62241494329553,0.5,0.2,0.625,0.375,0.06860038055037648,0.32977604567660207,0.11785427527833801,0.48376929849468386
169,33.82254836557705,0.5,0.2,0.625,0.375,0.0724093816035937,0.3265169069581938,0.12305137559142475,0.47802233584678816
170,34.02268178785857,0.5,0.2,0.625,0.375,0.07638891056662014,0.3233512711137273,0.12837877208006906,0.4718810462395839
171,34.22281521014009,0.5,0.2,0.625,0.375,0.08054022835407526,0.3202731612574256,0.1338263499286536,0.4653602604598459
172,34.422948632421615,0.5,0.2,0.625,0.375,0.08486394334660019,0.3172771471406931,0.13938271440189764,0.4584761951108095
173,34.62308205470313,0.5,0.2,0.625,0.375,0.08935997601916919,0.3143583576073134,0.1450352316701239,0.45124643470339404
174,34.82321547698466,0.5,0.2,0.625,0.375,0.09402753090316304,0.3115124870651671,0.15077009108886902,0.4436898909428013
175,35.023348899266175,0.5,0.2,0.625,0.375,0.0988650723109798,0.3087357970362402,0.15657239838127052,0.43582673227150986
176,35.2234823215477,0.5,0.2,0.625,0.375,0.10387030990112636,0.30602511187815595,0.16242626431980842,0.4276783139009097
177,35.42361574382922,0.5,0.2,0.625,0.375,0.10904019374461418,0.3033778080199865,0.16831494284071213,0.41926705539468767
178,35.62374916611074,0.5,0.2,0.625,0.375,0.11437091581822616,0.30079179909678994,0.17422096679220242,0.41061631829278195
179,35.82388258839226,0.5,0.2,0.625,0.375,0.11985791929774833,0.29826551664846274,0.1801262891949169,0.40175027485887244
180,36.02401601067378,0.5,0.2,0.625,0.375,0.1254959237836623,0.29579788283724673,0.1860124744909526,0.3926937188881388
181,36.2241494329553,0.5,0.2,0.625,0.375,0.13127894591550912,0.2933882850438465,0.19186084436008077,0.383471924680564
